location,hour,day_of_week,month,base_fare
11,0,5,1,70
1,16,6,3,146
14,23,1,1,100
4,5,0,1,130
5,23,6,2,77
11,18,0,2,116
12,9,3,3,54
13,21,2,3,92
2,1,6,1,111
7,2,6,1,92
4,14,5,2,130
11,0,6,3,77
10,9,2,1,102
15,20,2,2,62
14,19,1,3,121
6,4,4,3,62
6,14,5,2,107
3,3,5,2,58
8,17,6,3,116
4,4,6,1,105
4,5,2,3,126
9,15,2,2,146
3,21,2,2,137
2,18,0,2,110
0,13,6,1,76
2,5,1,3,118
10,3,6,3,132
11,18,4,3,118
0,2,1,2,130
7,13,5,3,90
6,3,4,1,98
12,21,3,2,95
15,22,5,3,75
7,15,1,1,109
13,13,1,2,78
7,9,1,3,90
0,5,4,3,93
6,22,0,1,110
0,18,4,3,127
7,1,3,3,112
8,5,6,2,136
2,4,2,3,149
6,1,1,1,110
10,6,2,2,131
2,4,4,3,64
1,11,2,2,115
6,1,2,1,70
14,2,0,2,148
12,10,3,3,69
3,5,2,1,80
10,22,0,3,70
15,13,1,1,117
13,22,1,2,111
0,16,5,2,140
10,0,0,1,120
9,10,4,3,57
1,23,3,1,71
5,19,0,3,125
3,11,3,1,140
3,16,5,2,132
4,8,4,3,55
6,18,1,1,131
15,11,0,2,95
7,0,5,1,106
12,1,1,3,55
2,13,0,1,66
13,13,0,3,98
13,9,6,3,69
13,16,0,3,145
3,0,0,2,129
15,23,0,3,105
0,23,3,3,117
12,16,3,3,97
2,4,3,3,62
7,21,6,2,73
13,6,6,2,129
13,3,0,3,96
12,2,6,1,148
2,11,2,2,89
0,18,1,3,140
4,23,5,3,70
5,16,1,3,78
11,4,5,2,144
1,23,2,3,139
10,20,4,2,131
5,7,2,3,83
14,13,5,3,64
15,18,3,1,146
15,5,3,1,81
6,5,3,3,144
8,0,3,2,56
8,7,1,1,72
2,10,1,1,64
0,15,0,3,59
6,10,5,3,111
13,8,4,3,80
3,7,6,2,77
9,20,1,3,116
12,15,1,2,102
6,15,5,2,74
8,1,1,3,78
6,10,3,3,72
13,3,6,1,148
6,12,2,2,96
11,20,4,2,87
9,4,1,3,102
6,15,3,3,98
0,17,5,2,60
2,0,6,2,148
4,21,6,1,148
0,20,0,1,140
5,1,5,2,132
1,7,2,2,108
5,21,1,2,129
6,5,6,2,73
1,22,6,1,139
1,15,0,3,125
0,6,3,1,92
15,4,3,2,136
6,17,1,3,77
6,4,0,3,88
11,19,2,3,142
8,6,3,3,96
4,17,2,3,68
2,8,4,2,102
4,11,2,3,135
1,11,3,3,63
15,16,4,1,100
11,0,4,3,145
8,16,1,3,109
4,17,0,2,71
15,8,4,2,141
3,8,1,2,65
12,21,0,3,124
2,8,5,3,62
2,8,6,1,102
2,2,5,2,104
13,20,6,3,125
13,13,1,1,53
6,17,1,3,57
14,10,2,2,65
13,1,2,1,109
13,14,3,1,128
11,20,3,1,110
2,9,4,3,131
0,13,3,3,127
2,2,6,3,122
4,22,2,2,103
3,11,0,1,125
9,5,4,3,131
10,19,0,3,138
9,2,1,3,50
15,12,5,1,70
6,23,5,1,75
4,14,5,3,139
6,11,4,3,82
6,16,0,2,66
11,21,2,1,102
2,23,5,3,52
1,2,0,2,98
14,1,2,1,56
3,20,6,1,123
8,1,2,2,86
15,6,4,2,143
13,14,2,3,62
10,23,3,3,97
3,6,0,1,114
13,6,4,1,54
15,10,5,2,143
10,15,2,1,79
6,8,1,3,119
3,13,5,1,139
10,1,0,1,129
2,15,0,3,114
1,7,5,3,85
0,2,0,2,69
7,21,4,2,52
1,15,4,3,57
3,9,3,3,64
10,2,2,2,149
14,3,5,3,148
1,5,6,3,128
11,8,5,1,88
7,18,3,2,67
1,10,4,3,117
2,2,1,3,55
12,4,4,1,92
11,9,2,3,54
8,11,0,2,56
3,13,4,2,58
0,9,3,2,90
0,9,2,1,57
6,4,4,3,133
6,23,3,3,143
8,6,6,2,96
4,11,3,2,79
14,18,6,1,118
14,3,6,1,52
0,21,5,3,77
0,17,2,3,90
4,4,5,1,81
9,3,1,2,144
1,9,0,3,149
13,2,5,1,54
11,4,3,3,115
10,15,4,3,138
4,2,2,1,114
0,18,3,1,108
9,20,2,2,149
4,11,2,3,86
8,4,5,3,86
1,21,3,2,63
8,4,3,3,149
8,15,2,1,86
2,17,2,3,149
2,14,1,3,114
9,23,4,1,92
14,0,1,3,71
14,16,3,3,67
13,15,2,3,88
12,23,0,2,98
3,19,0,3,101
